iter	MultiClass
0	1.186851959
1	1.043576182
2	0.9325222697
3	0.8450686332
4	0.7746777781
5	0.7155464523
6	0.6666771644
7	0.6248422531
8	0.5892809162
9	0.5585936332
10	0.5321278834
11	0.5085630079
12	0.4885735925
13	0.4704781728
14	0.4544446175
15	0.4403410143
16	0.4276704837
17	0.4171514633
18	0.407999208
19	0.3992616012
20	0.3910383958
21	0.3838783854
22	0.3780270975
23	0.3720420586
24	0.3668209765
25	0.3618952851
26	0.3575269563
27	0.3539151493
28	0.3502789722
29	0.3470265378
30	0.3439034319
31	0.3415079749
32	0.3391599249
33	0.3366940499
34	0.3348776156
35	0.3330358117
36	0.3312273563
37	0.3297493197
38	0.329000377
39	0.3278188157
40	0.3267025369
41	0.3256114404
42	0.3249269353
43	0.3241464786
44	0.3236400525
45	0.3226212384
46	0.321868008
47	0.3209793517
48	0.3203245304
49	0.3196610666
50	0.318937374
51	0.3184338191
52	0.317593759
53	0.3172651884
54	0.3167274477
55	0.3160811054
56	0.3159037111
57	0.3156183139
58	0.3149079515
59	0.3147092758
60	0.3140946397
61	0.3136473572
62	0.3130831948
63	0.3125888488
64	0.3120312491
65	0.3117047818
66	0.3114032466
67	0.3109800099
68	0.3107989749
69	0.3103571626
70	0.3102818532
71	0.3100710673
72	0.3098340664
73	0.3095176071
74	0.3092572462
75	0.3089621282
76	0.3085703472
77	0.3082904506
78	0.308014633
79	0.3076333006
80	0.3073457484
81	0.3072219655
82	0.3069540342
83	0.3065830682
84	0.3063329513
85	0.3058266898
86	0.3056773025
87	0.305425953
88	0.3052327381
89	0.305162122
90	0.3047434279
91	0.3046324798
92	0.3043654321
93	0.3042272711
94	0.3038812712
95	0.3035854855
96	0.3034027994
97	0.3031526273
98	0.3030369557
99	0.3026844008
100	0.3023434245
101	0.3021749785
102	0.3018362546
103	0.3016501292
104	0.3012593626
105	0.3010365782
106	0.3007251486
107	0.3004652946
108	0.3003046688
109	0.3002063985
110	0.3000913822
111	0.2998212532
112	0.299535047
113	0.299316997
114	0.2990923695
115	0.2989486242
116	0.2986125035
117	0.2984685495
118	0.2983413728
119	0.2980877371
120	0.2980010053
121	0.2976783249
122	0.2975373793
123	0.2973122362
124	0.2971925715
125	0.2969466486
126	0.2968090891
127	0.2967696903
128	0.2964735536
129	0.2962658743
130	0.2961396218
131	0.295781569
132	0.2954961122
133	0.295414013
134	0.2952498749
135	0.2951176305
136	0.2949768004
137	0.2947992171
138	0.2946730975
139	0.2945026243
140	0.2943849361
141	0.2941300961
142	0.2937857043
143	0.2935718668
144	0.293411434
145	0.2931136177
146	0.2929667741
147	0.2925902359
148	0.2924477533
149	0.2923991506
150	0.2920696197
151	0.2918655021
152	0.2917989372
153	0.2917438496
154	0.2915823697
155	0.2914493825
156	0.2913016373
157	0.2909277692
158	0.2908075315
159	0.2906492259
160	0.2905285032
161	0.2902850444
162	0.2901463668
163	0.2898477894
164	0.2895566526
165	0.2894420586
166	0.2893022002
167	0.2889841389
168	0.2887522486
169	0.288713058
170	0.2884372678
171	0.2881741761
172	0.2880220099
173	0.2878843238
174	0.2878102167
175	0.2875601375
176	0.2873829531
177	0.287284391
178	0.2871661245
179	0.2869619045
180	0.286746931
181	0.2866830709
182	0.2866041702
183	0.2864185781
184	0.2862289066
185	0.2860071478
186	0.2856663673
187	0.2856013529
188	0.2852758091
189	0.2852020583
190	0.2850409668
191	0.2847739137
192	0.2845973778
193	0.2843209907
194	0.2841648968
195	0.2839966373
196	0.2838482285
197	0.2836984475
198	0.2835309467
199	0.2833010068
200	0.2830197198
201	0.2828642069
202	0.2827655107
203	0.2825832385
204	0.2825207331
205	0.2823775637
206	0.2820993567
207	0.2819192214
208	0.2817545056
209	0.2815294551
210	0.281280342
211	0.2811882635
212	0.2808746577
213	0.2806656383
214	0.280550248
215	0.28033877
216	0.2800490926
217	0.2798430191
218	0.279587668
219	0.2794790095
220	0.2794495866
221	0.27927641
222	0.2791931637
223	0.2791284853
224	0.2790671652
225	0.278867828
226	0.2783254697
227	0.2781568435
228	0.2780568153
229	0.2778865785
230	0.277725317
231	0.2776736277
232	0.2774068371
233	0.2773180131
234	0.2771545179
235	0.2770673637
236	0.2769288247
237	0.2767432648
238	0.2766178739
239	0.2765468598
240	0.276329791
241	0.2762427446
242	0.2761255136
243	0.2759965815
244	0.2759605948
245	0.2758170669
246	0.2757111145
247	0.275506999
248	0.2754771556
249	0.2752572128
250	0.2750921661
251	0.2749991657
252	0.2748494147
253	0.2746213552
254	0.2743866086
255	0.2742274522
256	0.2741612007
257	0.2738281524
258	0.2737416652
259	0.2736142819
260	0.2734688988
261	0.273331996
262	0.2731726128
263	0.2730023923
264	0.2728875945
265	0.2726340844
266	0.2725155395
267	0.2722898495
268	0.2721987039
269	0.2719458519
270	0.2717682942
271	0.2717087067
272	0.2715342024
273	0.2712535676
274	0.2711398232
275	0.2710633395
276	0.2709588157
277	0.2708143759
278	0.27067308
279	0.2705896648
280	0.2702607437
281	0.2700852682
282	0.2700020241
283	0.2698696193
284	0.269642918
285	0.2695176724
286	0.2693634872
287	0.2692543802
288	0.2691428056
289	0.2688973342
290	0.2686702492
291	0.2684687236
292	0.2684194185
293	0.2682668701
294	0.2681920197
295	0.2680380653
296	0.2679136464
297	0.2677606992
298	0.2676754862
299	0.2674009462
300	0.2673034067
301	0.2671961041
302	0.2670015476
303	0.2669236667
304	0.2668293241
305	0.2666500419
306	0.2665766207
307	0.2665116561
308	0.2663750444
309	0.2662041964
310	0.2661377163
311	0.2660988076
312	0.2659226528
313	0.2658335655
314	0.2657524148
315	0.265536782
316	0.2654188079
317	0.2653140217
318	0.2651445396
319	0.2649357861
320	0.2648766254
321	0.2647289682
322	0.2646003243
323	0.2644570219
324	0.2641363083
325	0.2639105137
326	0.2636511265
327	0.2634333548
328	0.2633228909
329	0.2631006617
330	0.2628126644
331	0.2625338339
332	0.2623991833
333	0.2622725241
334	0.2622054411
335	0.2620740898
336	0.262032289
337	0.261895927
338	0.2618623945
339	0.2616891751
340	0.2616015462
341	0.2613199412
342	0.2612528302
343	0.2611964494
344	0.2610139185
345	0.2608850266
346	0.2607032278
347	0.2606299064
348	0.2605160289
349	0.2603056573
350	0.2602624574
351	0.2601301149
352	0.2600406367
353	0.2599045151
354	0.2598446463
355	0.2598037969
356	0.2596328575
357	0.259554199
358	0.2595248083
359	0.2594231389
360	0.2590527576
361	0.2588191988
362	0.258736186
363	0.2585559361
364	0.2584524486
365	0.2583162545
366	0.2581946003
367	0.258128581
368	0.2580088703
369	0.2579174995
370	0.2578901625
371	0.2578170247
372	0.2576569396
373	0.2575333827
374	0.2574739413
375	0.2572959425
376	0.2572193805
377	0.2571171894
378	0.2570491624
379	0.2569301105
380	0.2568807816
381	0.2567634781
382	0.2565612855
383	0.256492501
384	0.2563615297
385	0.256192936
386	0.2561184231
387	0.2559674043
388	0.2558872123
389	0.255795578
390	0.2556801726
391	0.2554392419
392	0.2551812263
393	0.2551019294
394	0.255050821
395	0.2547765775
396	0.2546639218
397	0.2545702259
398	0.2544943611
399	0.2543281646
400	0.2540858085
401	0.2539994138
402	0.2539428335
403	0.2538811864
404	0.2536021836
405	0.2535171326
406	0.2534730458
407	0.2533840257
408	0.253232158
409	0.2531160734
410	0.2530150233
411	0.2528051359
412	0.2526912717
413	0.2525814503
414	0.2524985055
415	0.2523771129
416	0.2523024288
417	0.2521641089
418	0.2520854803
419	0.2519866826
420	0.2518542227
421	0.2516900471
422	0.2515783421
423	0.2514228208
424	0.2512816674
425	0.2510562432
426	0.2509364523
427	0.250853096
428	0.2507525472
429	0.2506498759
430	0.2505269745
431	0.2504573584
432	0.2503914909
433	0.2503200821
434	0.2501539018
435	0.2499775783
436	0.2497918541
437	0.2496406637
438	0.249511447
439	0.2493967808
440	0.2492989219
441	0.2491519298
442	0.2489390735
443	0.2488622109
444	0.2487327644
445	0.2484902298
446	0.2483708275
447	0.2482880966
448	0.2482117276
449	0.2481274218
450	0.2480130969
451	0.2479324342
452	0.2478701019
453	0.2476358152
454	0.2475760309
455	0.2473808103
456	0.2472786434
457	0.2471324966
458	0.2468735097
459	0.2466713257
460	0.2465751412
461	0.2464708587
462	0.2463408443
463	0.2462255921
464	0.2461317213
465	0.2459298855
466	0.2458543795
467	0.2457195946
468	0.2455068755
469	0.2454182354
470	0.2453069821
471	0.2451364201
472	0.2449395051
473	0.2448767767
474	0.2447181455
475	0.2446206394
476	0.2445575403
477	0.2443914121
478	0.2442010738
479	0.2440561818
480	0.2440364378
481	0.2438123705
482	0.2437536262
483	0.2437074733
484	0.2435324134
485	0.2433866024
486	0.2431070365
487	0.2429843289
488	0.2428816244
489	0.2427538354
490	0.2426111181
491	0.2424632956
492	0.2423760551
493	0.242289617
494	0.2421194675
495	0.2419749027
496	0.2417834096
497	0.2415153844
498	0.2414058133
499	0.2413253791
500	0.2411715954
501	0.2409856384
502	0.2408139596
503	0.2407720596
504	0.2406204747
505	0.2404648934
506	0.2402275692
507	0.2401849132
508	0.240042758
509	0.2399600976
510	0.2397825158
511	0.2397400329
512	0.2396832116
513	0.2394776595
514	0.2393476903
515	0.239103637
516	0.2389249043
517	0.2388337363
518	0.2386658046
519	0.23854439
520	0.238362183
521	0.238223353
522	0.2379468634
523	0.2378201715
524	0.2376035639
525	0.2373396753
526	0.2370202157
527	0.2368984777
528	0.2367704806
529	0.2366694145
530	0.2365279692
531	0.236391038
532	0.2362287175
533	0.2361236478
534	0.2360487008
535	0.23594659
536	0.2358804243
537	0.2357916675
538	0.2356034734
539	0.2355359056
540	0.2354764165
541	0.2352599446
542	0.23509293
543	0.234946318
544	0.2348479006
545	0.2347578119
546	0.234690972
547	0.2345994441
548	0.2345399752
549	0.2344163815
550	0.2342753785
551	0.2341941727
552	0.2341190938
553	0.2340684412
554	0.2338976823
555	0.2338124962
556	0.2336597799
557	0.2334893957
558	0.2333379402
559	0.2331906379
560	0.2330452834
561	0.232962339
562	0.2325751394
563	0.2325077235
564	0.2324705229
565	0.2322169842
566	0.2320637591
567	0.2319557215
568	0.2318277745
569	0.2317565016
570	0.2316173666
571	0.2315403721
572	0.2314325766
573	0.2312429537
574	0.2311911656
575	0.2311395809
576	0.2310999905
577	0.2310026049
578	0.2309126891
579	0.2307856984
580	0.2305794483
581	0.2305244815
582	0.2303816075
583	0.2301884693
584	0.230000237
585	0.2298797595
586	0.2297539455
587	0.2296896048
588	0.2296146587
589	0.2295467344
590	0.2294662088
591	0.2293726486
592	0.2293103177
593	0.2291374703
594	0.2290424759
595	0.228960149
596	0.2288954316
597	0.2288538621
598	0.2287640893
599	0.2285924919
600	0.2284285638
601	0.2282996251
602	0.2281750539
603	0.2281232554
604	0.2279850738
605	0.2278741162
606	0.2277954152
607	0.2277186927
608	0.2276131993
609	0.2275158928
610	0.2273973243
611	0.2273140383
612	0.2272528249
613	0.2271449299
614	0.2270242967
615	0.2269545862
616	0.2268739064
617	0.226792937
618	0.2265637535
619	0.2265108323
620	0.2264303941
621	0.2263604283
622	0.2263060473
623	0.226205982
624	0.2261046735
625	0.2259815138
626	0.2258892476
627	0.2257547429
628	0.2255932751
629	0.2254473341
630	0.2254081813
631	0.2253583577
632	0.2252902149
633	0.2251916143
634	0.2251197074
635	0.2250022496
636	0.2249160512
637	0.2248291352
638	0.2246611377
639	0.2245941869
640	0.2244954788
641	0.2244234977
642	0.2243221686
643	0.224118809
644	0.2240034433
645	0.2238673416
646	0.2237034137
647	0.2236247517
648	0.2235407723
649	0.2234424908
650	0.2232931172
651	0.2231770255
652	0.2230831679
653	0.2228439829
654	0.2226541188
655	0.2224269547
656	0.2221536592
657	0.222103004
658	0.2219471849
