iter	Passed	Remaining
0	231	231077
1	278	139023
2	315	104755
3	339	84584
4	377	75221
5	416	69030
6	462	65601
7	500	62088
8	537	59213
9	575	56982
10	598	53768
11	635	52348
12	648	49257
13	689	48572
14	728	47848
15	767	47215
16	808	46754
17	859	46880
18	874	45149
19	927	45468
20	973	45377
21	1017	45249
22	1057	44911
23	1095	44530
24	1131	44121
25	1175	44043
26	1213	43747
27	1255	43572
28	1294	43327
29	1331	43060
30	1369	42811
31	1415	42804
32	1452	42555
33	1489	42325
34	1526	42080
35	1562	41845
36	1598	41608
37	1638	41483
38	1680	41402
39	1717	41222
40	1753	41004
41	1788	40784
42	1824	40598
43	1868	40603
44	1904	40425
45	1941	40262
46	1979	40128
47	2015	39983
48	2051	39824
49	2088	39678
50	2131	39657
51	2166	39501
52	2203	39372
53	2237	39195
54	2272	39048
55	2310	38954
56	2353	38933
57	2388	38793
58	2431	38776
59	2472	38738
60	2527	38914
61	2575	38961
62	2635	39195
63	2686	39294
64	2728	39255
65	2775	39279
66	2810	39134
67	2846	39017
68	2881	38881
69	2919	38781
70	2953	38648
71	2994	38601
72	3029	38469
73	3067	38380
74	3104	38283
75	3138	38160
76	3178	38103
77	3219	38052
78	3258	37985
79	3295	37901
80	3332	37805
81	3459	38732
82	3521	38907
83	3558	38802
84	3593	38678
85	3628	38563
86	3662	38431
87	3699	38338
88	3739	38279
89	3772	38140
90	3807	38034
91	3840	37907
92	3875	37797
93	3911	37700
94	3957	37702
95	3993	37604
96	4028	37499
97	4065	37417
98	4102	37341
99	4150	37357
100	4188	37285
101	4225	37200
102	4260	37101
103	4295	37007
104	4331	36919
105	4367	36833
106	4416	36855
107	4454	36794
108	4493	36734
109	4527	36635
110	4561	36536
111	4604	36508
112	4641	36437
113	4675	36336
114	4707	36230
115	4741	36132
116	4775	36043
117	4809	35948
118	4843	35860
119	4880	35788
120	4922	35757
121	4960	35696
122	4995	35619
123	5030	35535
124	5073	35514
125	5107	35426
126	5141	35342
127	5176	35261
128	5212	35195
129	5249	35129
130	5307	35208
131	5370	35317
132	5416	35305
133	5448	35214
134	5484	35141
135	5518	35061
136	5560	35028
137	5599	34973
138	5633	34896
139	5669	34825
140	5701	34737
141	5744	34707
142	5789	34699
143	5829	34651
144	5865	34585
145	5906	34551
146	5942	34481
147	5997	34526
148	6053	34572
149	6101	34577
150	6184	34770
151	6242	34824
152	6289	34818
153	6327	34759
154	6368	34718
155	6406	34658
156	6443	34595
157	6496	34620
158	6536	34574
159	6574	34514
160	6616	34479
161	6655	34425
162	6691	34361
163	6732	34321
164	6772	34270
165	6805	34189
166	6838	34110
167	6874	34045
168	6913	33992
169	6951	33939
170	7001	33941
171	7044	33912
172	7084	33866
173	7122	33812
174	7162	33767
175	7211	33761
176	7246	33696
177	7283	33636
178	7322	33583
179	7359	33527
180	7402	33496
181	7442	33450
182	7478	33387
183	7515	33327
184	7550	33261
185	7586	33200
186	7630	33172
187	7674	33146
188	7717	33115
189	7752	33048
190	7786	32981
191	7823	32925
192	7858	32861
193	7897	32811
194	7933	32749
195	7967	32684
196	8003	32623
197	8039	32563
198	8083	32537
199	8123	32492
200	8158	32431
201	8195	32378
202	8230	32314
203	8265	32250
204	8297	32177
205	8334	32125
206	8370	32067
207	8432	32107
208	8465	32039
209	8502	31985
210	8542	31943
211	8576	31878
212	8612	31822
213	8647	31761
214	8679	31692
215	8715	31634
216	8758	31602
217	8791	31535
218	8827	31479
219	8859	31410
220	8895	31356
221	8934	31312
222	8971	31260
223	9004	31194
224	9037	31129
225	9073	31076
226	9111	31026
227	9144	30964
228	9184	30923
229	9221	30871
230	9256	30814
231	9291	30756
232	9326	30701
233	9362	30647
234	9401	30605
235	9442	30566
236	9476	30507
237	9511	30453
238	9546	30398
239	9580	30336
240	9617	30288
241	9654	30241
242	9688	30182
243	9722	30122
244	9753	30057
245	9787	30000
246	9825	29952
247	9865	29915
248	9899	29857
249	9935	29805
250	9970	29751
251	10004	29694
252	10038	29640
253	10086	29625
254	10131	29599
255	10167	29549
